,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
intercept[base_sales],0.005,0.009,-0.011,0.024,0.0,0.0,3134.0,1668.0,1.0
intercept[awareness],-0.009,0.008,-0.024,0.005,0.0,0.0,3326.0,1928.0,1.0
intercept[consideration],-0.005,0.006,-0.016,0.007,0.0,0.0,3163.0,1798.0,1.0
beta_brand[awareness],0.686,0.094,0.516,0.866,0.002,0.002,1897.0,1422.0,1.0
beta_brand[consideration],0.356,0.072,0.235,0.504,0.002,0.002,2184.0,1592.0,1.0
alpha[base_sales],-0.334,0.051,-0.424,-0.236,0.001,0.001,2521.0,1538.0,1.0
alpha[awareness],0.057,0.06,-0.058,0.164,0.001,0.001,2439.0,1758.0,1.0
alpha[consideration],0.014,0.049,-0.083,0.097,0.001,0.001,2466.0,1732.0,1.0
"gamma[base_sales, base_sales]",0.105,0.06,-0.01,0.216,0.001,0.001,4224.0,1599.0,1.0
"gamma[base_sales, awareness]",0.07,0.058,-0.046,0.172,0.001,0.001,3426.0,1936.0,1.0
"gamma[base_sales, consideration]",-0.042,0.073,-0.19,0.087,0.001,0.002,3399.0,1757.0,1.01
"gamma[awareness, base_sales]",0.058,0.073,-0.074,0.199,0.001,0.002,3599.0,1954.0,1.0
"gamma[awareness, awareness]",0.145,0.069,0.019,0.277,0.001,0.001,3165.0,1793.0,1.0
"gamma[awareness, consideration]",-0.004,0.083,-0.161,0.155,0.001,0.002,3625.0,1911.0,1.0
"gamma[consideration, base_sales]",0.029,0.062,-0.081,0.15,0.001,0.001,3493.0,1770.0,1.0
"gamma[consideration, awareness]",0.094,0.062,-0.02,0.211,0.001,0.001,3344.0,1838.0,1.0
"gamma[consideration, consideration]",0.07,0.074,-0.064,0.207,0.001,0.002,3488.0,1745.0,1.0
media_effect[base_sales],-0.003,0.006,-0.014,0.008,0.0,0.0,3659.0,1735.0,1.0
media_effect[awareness],0.085,0.008,0.071,0.099,0.0,0.0,3122.0,1953.0,1.0
media_effect[consideration],0.059,0.006,0.049,0.071,0.0,0.0,3709.0,1764.0,1.0
residual_sigma[base_sales],0.06,0.004,0.053,0.068,0.0,0.0,3584.0,1646.0,1.0
residual_sigma[awareness],0.081,0.005,0.071,0.091,0.0,0.0,3364.0,1532.0,1.0
residual_sigma[consideration],0.064,0.004,0.057,0.073,0.0,0.0,3105.0,1837.0,1.0
